id,entity,specialty,lat,lon,state,county,city,effectiveness,efficiency,location_confidence,total_claims_volume,medicare_claims_volume,total_claims_amount,medicare_total_claims_amount,new_patient_claims
0,Beaumont Health,psychiatry,42.82847,-84.462447,mi,oakland,Oakland,2,4,0.82,145,190,122403.43,56857.9,36
1,Beaumont Health,endocrinology,42.551263,-80.435744,mi,oakland,Oakland,5,4,0.8,249,161,75260.71,19859.07,5
2,Beaumont Health,psychiatry,42.301965,-80.502812,mi,oakland,Oakland,2,3,0.52,128,37,391025.12,98672.17,46
3,Corewell Health,dermatology,42.194322,-84.996019,mi,wayne,Wayne,1,3,0.92,470,165,239659.65,85889.8,0
4,Corewell Health,endocrinology,42.201369,-80.482706,mi,wayne,Wayne,3,5,0.79,62,169,380969.79,78680.86,20
5,Corewell Health,dermatology,41.989857,-83.563569,mi,wayne,Wayne,5,5,0.6,458,117,380929.57,14144.81,30
6,Corewell Health,internal medicine,42.199847,-84.47273,mi,wayne,Wayne,3,3,0.65,458,58,484307.15,22239.6,16
7,Corewell Health,internal medicine,42.246806,-81.297053,mi,wayne,Wayne,3,3,0.95,201,42,307963.05,129145.64,14
8,Spectrum Health,obstetrics/gynecology,42.63291,-83.455617,mi,oakland,Oakland,1,1,0.89,39,110,432558.22,190156.52,3
9,Spectrum Health,family medicine,42.681823,-83.466074,mi,oakland,Oakland,4,4,0.73,43,10,251382.87,69106.56,42
10,Spectrum Health,family medicine,42.227105,-81.878092,mi,oakland,Oakland,1,3,0.57,17,136,99121.24,72405.12,2
11,Spectrum Health,obstetrics/gynecology,42.506555,-81.639477,mi,oakland,Oakland,2,5,0.6,412,25,92778.18,59325.12,21
12,Spectrum Health,obstetrics/gynecology,42.284887,-83.537299,mi,oakland,Oakland,1,2,0.85,82,30,401711.1,127440.58,46
13,Spectrum Health,obstetrics/gynecology,42.316092,-83.187502,mi,oakland,Oakland,5,1,0.64,266,12,376647.25,40981.6,14
14,Spectrum Health,obstetrics/gynecology,42.619954,-83.146492,mi,oakland,Oakland,2,4,0.68,225,134,376260.76,12153.22,6
15,Henry Ford Health,internal medicine,42.280027,-82.643445,mi,wayne,Wayne,4,5,0.93,303,119,128810.55,57502.43,36
16,Henry Ford Health,general practice,42.188988,-85.286554,mi,wayne,Wayne,2,4,0.62,22,29,342760.14,158888.39,44
17,Henry Ford Health,obstetrics/gynecology,42.535999,-84.286025,mi,wayne,Wayne,2,1,0.78,51,173,175348.95,180431.24,33
18,Henry Ford Health,obstetrics/gynecology,42.148316,-85.806991,mi,wayne,Wayne,5,1,0.62,159,25,84900.98,52961.76,3
19,Henry Ford Health,internal medicine,42.269623,-83.132194,mi,wayne,Wayne,1,3,0.91,203,83,272168.0,97940.8,44
20,Henry Ford Health,obstetrics/gynecology,42.050606,-82.494102,mi,wayne,Wayne,4,3,0.6,29,117,269621.61,142909.87,13
21,Henry Ford Health,internal medicine,42.245789,-85.84228,mi,wayne,Wayne,4,5,0.77,170,138,174936.1,31210.86,22
22,Providence Health,internal medicine,42.059705,-82.209623,mi,wayne,Wayne,1,1,0.56,408,156,306989.92,159886.44,30
23,Providence Health,general practice,42.567727,-82.284296,mi,oakland,Oakland,5,3,0.97,85,39,463960.22,145711.33,28
24,Providence Health,general practice,42.229788,-82.305473,mi,wayne,Wayne,3,5,0.59,348,127,320541.7,182033.9,24
25,Providence Health,orthopedic surgery,42.756394,-82.01265,mi,oakland,Oakland,3,5,0.65,32,67,256332.99,50281.48,32
26,Providence Health,orthopedic surgery,42.624411,-86.566703,mi,oakland,Oakland,3,3,0.81,465,46,78243.32,159834.91,28
27,Providence Health,internal medicine,42.644888,-83.126918,mi,oakland,Oakland,1,1,0.85,420,187,80132.71,44886.2,1
28,Providence Health,general practice,42.396314,-83.408218,mi,wayne,Wayne,5,4,0.73,445,188,256121.29,110272.82,28
29,Ascension Michigan,dermatology,42.712138,-83.960383,mi,oakland,Oakland,3,3,0.78,291,47,303524.39,166225.77,9
30,Ascension Michigan,family medicine,42.238958,-87.178306,mi,kalamazoo,Kalamazoo,3,4,0.96,113,194,59389.36,54923.03,39
31,Ascension Michigan,internal medicine,42.516409,-82.16135,mi,oakland,Oakland,5,2,0.89,296,126,43771.55,20077.61,13
32,Ascension Michigan,family medicine,42.136466,-82.17839,mi,wayne,Wayne,5,5,0.58,429,186,420370.49,69768.55,39
33,Ascension Michigan,internal medicine,42.411787,-83.450101,mi,oakland,Oakland,2,4,0.89,163,173,65990.98,85828.39,25
34,Ascension Michigan,dermatology,42.490178,-82.038874,mi,oakland,Oakland,2,3,0.73,436,191,231695.36,32467.12,23
35,Ascension Michigan,internal medicine,41.745467,-83.431442,mi,wayne,Wayne,1,5,0.79,159,158,16416.28,134389.79,6
36,Michigan Health & Hospital Corp,family medicine,42.180133,-85.246803,mi,kalamazoo,Kalamazoo,5,1,0.65,233,145,204685.88,88223.84,18
37,Michigan Health & Hospital Corp,family medicine,42.063951,-84.170288,mi,wayne,Wayne,5,5,0.74,433,23,42197.23,156227.89,46
38,Michigan Health & Hospital Corp,family medicine,41.752355,-81.71274,mi,wayne,Wayne,2,3,0.58,394,12,432274.95,189492.52,31
39,Trinity Health,endocrinology,42.274984,-85.339809,mi,wayne,Wayne,1,4,0.92,400,97,209912.4,112585.91,2
40,Trinity Health,endocrinology,42.153836,-85.466276,mi,wayne,Wayne,1,5,0.59,106,96,126709.56,24391.07,31
41,Trinity Health,internal medicine,42.256644,-82.683605,mi,wayne,Wayne,4,4,0.83,478,146,153642.39,179785.48,6
42,Trinity Health,endocrinology,41.899533,-80.70297,mi,wayne,Wayne,1,5,0.67,243,134,187899.01,11674.48,19
43,Trinity Health,internal medicine,42.677782,-84.255059,mi,oakland,Oakland,2,5,0.65,351,112,78655.46,174351.26,45
44,Trinity Health,internal medicine,42.449643,-81.230934,mi,oakland,Oakland,1,1,0.77,246,29,136364.97,32174.43,42
45,Trinity Health,internal medicine,42.152765,-82.828627,mi,wayne,Wayne,2,5,0.51,155,132,67698.03,117420.71,37
46,Priority Health,family medicine,42.477696,-84.268863,mi,oakland,Oakland,2,4,0.6,371,90,77073.96,180503.64,5
47,Priority Health,endocrinology,42.364013,-81.983336,mi,oakland,Oakland,1,5,0.59,182,149,215197.56,79712.01,45
48,Priority Health,family medicine,42.447798,-82.952162,mi,oakland,Oakland,3,2,0.53,276,44,224224.76,183525.17,38
49,Priority Health,endocrinology,42.58115,-83.050596,mi,oakland,Oakland,5,1,0.63,248,152,89386.8,169098.28,16
50,Priority Health,family medicine,42.884013,-83.39409,mi,oakland,Oakland,1,2,0.74,82,44,366812.49,101620.81,42
51,Priority Health,endocrinology,42.358296,-79.795632,mi,oakland,Oakland,3,2,0.9,181,183,143351.12,120094.98,18
52,Priority Health,endocrinology,42.647858,-84.141697,mi,oakland,Oakland,5,1,0.98,320,51,52485.55,191843.3,18
53,Independence Blue Cross,dermatology,42.34268,-82.316446,mi,wayne,Wayne,1,2,0.74,152,63,493957.32,189091.57,46
54,Independence Blue Cross,dermatology,42.214443,-83.038468,mi,wayne,Wayne,2,5,0.74,400,18,69056.06,147549.62,47
55,Independence Blue Cross,dermatology,42.31936,-83.470624,mi,wayne,Wayne,3,2,0.76,112,21,328582.0,76115.96,43
56,Independence Blue Cross,dermatology,42.302833,-83.425179,mi,wayne,Wayne,2,4,0.79,385,8,397454.35,67156.74,17
57,Independence Blue Cross,orthopedic surgery,42.540058,-81.915554,mi,oakland,Oakland,2,3,0.94,423,17,269179.2,188118.2,34
58,Independence Blue Cross,dermatology,42.422407,-81.135979,mi,oakland,Oakland,4,1,0.79,245,125,386453.97,86464.52,38
59,Independence Blue Cross,dermatology,42.019105,-82.159513,mi,wayne,Wayne,5,2,0.65,455,41,30625.66,8485.42,45
60,Careington Health,dermatology,42.209948,-85.061094,mi,oakland,Oakland,4,4,0.98,302,65,136901.5,119768.07,38
61,Careington Health,dermatology,42.186524,-81.957853,mi,wayne,Wayne,5,2,0.58,61,8,123519.13,188832.7,44
62,Careington Health,dermatology,42.054339,-84.146495,mi,wayne,Wayne,2,1,0.59,268,124,181561.38,16279.32,46
63,Careington Health,dermatology,42.713076,-84.106119,mi,oakland,Oakland,1,3,0.91,495,17,119670.63,109710.01,8
64,Careington Health,dermatology,42.023983,-83.102953,mi,wayne,Wayne,1,3,0.64,38,141,31744.57,171177.74,41
65,UnitedHealth Community Plan,family medicine,42.22601,-83.651069,mi,wayne,Wayne,3,2,0.7,472,42,137279.35,146066.92,25
66,UnitedHealth Community Plan,family medicine,42.222358,-84.664318,mi,kalamazoo,Kalamazoo,2,5,0.74,358,119,414093.67,72822.8,33
67,UnitedHealth Community Plan,internal medicine,42.561412,-82.29304,mi,oakland,Oakland,3,4,0.93,68,52,357097.86,168217.6,24
68,UnitedHealth Community Plan,internal medicine,42.301278,-81.052467,mi,wayne,Wayne,4,5,0.94,323,35,414650.21,30129.62,42
69,UnitedHealth Community Plan,internal medicine,42.046569,-82.607567,mi,wayne,Wayne,2,5,0.75,304,198,150648.69,125300.75,48
70,UnitedHealth Community Plan,internal medicine,41.946022,-82.23062,mi,wayne,Wayne,5,3,0.56,476,162,19029.58,89286.95,33
71,MultiCare Health,cardiology,42.681347,-85.412241,mi,oakland,Oakland,5,5,0.89,413,100,387718.51,189723.09,16
72,MultiCare Health,cardiology,42.612785,-81.784651,mi,oakland,Oakland,1,2,0.54,219,54,495172.7,136830.19,11
73,MultiCare Health,cardiology,42.416162,-82.684182,mi,oakland,Oakland,5,4,0.51,404,37,168569.01,100285.42,10
74,MultiCare Health,cardiology,42.41672,-80.428264,mi,oakland,Oakland,2,5,0.97,108,145,428562.79,107769.7,28
75,Advance Health,internal medicine,41.996815,-82.287465,mi,wayne,Wayne,2,4,0.83,36,199,475923.15,34456.29,27
76,Advance Health,internal medicine,42.214626,-82.985039,mi,wayne,Wayne,5,3,0.98,156,189,226726.39,65830.64,37
77,Envision Healthcare,psychiatry,42.382955,-82.289715,mi,oakland,Oakland,1,4,0.78,217,31,484414.78,41177.48,16
78,Envision Healthcare,internal medicine,42.606157,-82.16619,mi,oakland,Oakland,2,4,0.51,358,196,154142.31,182808.03,2
79,Envision Healthcare,internal medicine,42.28654,-82.839824,mi,kalamazoo,Kalamazoo,1,4,0.62,18,170,120514.67,36360.97,21
80,Encompass Health,family medicine,42.633611,-85.82669,mi,oakland,Oakland,3,5,0.57,286,22,343423.75,82131.29,46
81,Encompass Health,psychiatry,42.435274,-83.087984,mi,kalamazoo,Kalamazoo,1,4,0.89,401,15,245448.4,25461.38,16
82,Encompass Health,family medicine,42.860304,-83.283905,mi,oakland,Oakland,1,2,0.89,251,101,263678.71,22133.97,12
83,Encompass Health,psychiatry,42.349757,-83.67165,mi,oakland,Oakland,2,2,0.9,491,110,92066.47,25390.73,10
84,Encompass Health,family medicine,42.571797,-84.463111,mi,kalamazoo,Kalamazoo,2,4,0.9,327,115,409264.31,20622.4,19
85,LifePoint Health,family medicine,42.497609,-84.703601,mi,kalamazoo,Kalamazoo,3,1,0.58,23,16,131080.58,36111.21,44
86,LifePoint Health,endocrinology,41.995264,-84.143947,mi,wayne,Wayne,5,3,0.58,463,150,330098.88,69801.35,40
87,LifePoint Health,endocrinology,41.980826,-82.503584,mi,wayne,Wayne,5,5,0.71,216,101,421821.68,38967.7,20
88,Prime Healthcare,obstetrics/gynecology,42.669688,-83.662121,mi,oakland,Oakland,5,4,0.87,391,24,257373.99,110943.6,31
89,Prime Healthcare,obstetrics/gynecology,42.752589,-83.938326,mi,oakland,Oakland,4,2,0.8,429,10,330954.58,198466.0,11
90,CommonSpirit Health,pediatrics,42.721481,-81.179863,mi,oakland,Oakland,1,3,0.89,109,91,319944.86,77705.48,1
91,CommonSpirit Health,pediatrics,42.394445,-83.463058,mi,oakland,Oakland,1,4,0.7,23,88,300545.92,36887.16,24
92,CommonSpirit Health,pediatrics,42.307051,-83.792893,mi,wayne,Wayne,5,1,0.89,449,168,485212.31,93488.96,10
93,CommonSpirit Health,pediatrics,41.985726,-84.618739,mi,kalamazoo,Kalamazoo,1,1,0.72,273,175,474805.84,54242.92,19
94,CommonSpirit Health,pediatrics,41.904491,-81.541463,mi,wayne,Wayne,4,5,0.89,129,48,228720.64,173522.15,5
95,Bon Secours Mercy Health,family medicine,42.250968,-85.826422,mi,kalamazoo,Kalamazoo,2,1,0.77,29,30,29278.33,28811.43,5
96,Bon Secours Mercy Health,family medicine,42.471501,-82.577415,mi,oakland,Oakland,1,3,0.52,499,24,493448.76,193198.15,42
97,Bon Secours Mercy Health,family medicine,42.170901,-82.671198,mi,wayne,Wayne,1,3,0.74,437,42,78429.11,10844.85,44
98,Bon Secours Mercy Health,family medicine,42.241916,-84.930123,mi,wayne,Wayne,2,5,0.55,273,161,227437.61,174287.74,21
99,Beaumont Health 2,endocrinology,42.63051,-82.506477,mi,oakland,Oakland,2,3,0.84,123,149,417129.82,173598.72,48
100,Beaumont Health 2,endocrinology,42.529635,-82.576157,mi,oakland,Oakland,1,1,0.61,473,146,202993.56,131990.43,25
101,Beaumont Health 2,endocrinology,42.300771,-83.72857,mi,wayne,Wayne,1,5,0.78,498,72,328750.71,154212.22,3
102,Beaumont Health 2,endocrinology,42.285221,-83.558294,mi,wayne,Wayne,5,1,0.66,374,79,194079.4,62889.51,6
103,Beaumont Health 2,endocrinology,42.466389,-87.193054,mi,kalamazoo,Kalamazoo,2,5,0.69,102,165,126396.62,77784.1,43
104,Corewell Health 2,obstetrics/gynecology,42.306253,-85.348599,mi,kalamazoo,Kalamazoo,2,2,0.73,12,89,433033.49,106220.95,5
105,Corewell Health 2,obstetrics/gynecology,42.055399,-84.743544,mi,kalamazoo,Kalamazoo,4,3,0.88,335,50,361880.31,191327.12,44
106,Corewell Health 2,obstetrics/gynecology,42.25941,-83.107269,mi,kalamazoo,Kalamazoo,5,4,0.98,301,55,39531.02,187215.03,21
107,Corewell Health 2,obstetrics/gynecology,42.229978,-85.640987,mi,kalamazoo,Kalamazoo,4,5,0.64,36,161,403482.69,110136.45,15
